VZmax,VPzabove1,VPzabove3,VPzabove4,VZq90,VZq95,VFHD,VSlope,VAspect,Depth
14.3,99.49016335,75.67027515,61.88022268,8.766,10.017,2.818593244,16.67375449,319.4700012,0.840651368
16.071,97.77188514,60.56069223,43.70049894,7.7,9.474,1.635025833,29.25778736,318.5295521,0.681368955
10.835,94.1136942,54.88139152,35.32008154,5.398,5.93,2.143658026,21.57892148,320.1833276,1.266720201
19.07,99.06112135,76.90389205,68.42702761,12.5,14.012,1.753148339,26.11109447,314.5056976,0.796224138
28.045,99.92790195,97.76496035,97.72891132,26.972,27.355,2.822622866,4.467980062,120.2956933,0.946497603
9.587,97.51647743,72.73553032,59.09055663,6.391,6.9263,2.487849024,29.01609383,304.4460083,0.877955454
15.562,97.93383235,70.81745173,54.0800525,9.51,10.488,2.773210027,13.72041029,165.7417252,0.841378182
11.159,99.55613266,69.15850702,53.21240709,7.999,9.066,2.875878473,3.053087542,248.2270981,0.946497603
27.041,100,99.92410243,99.87460401,24.662,25.334,3.11932098,11.02406456,283.4822071,2.335497603
18.778,99.20183477,88.07904867,81.17643493,14.045,15.178,1.989154025,5.94263959,58.85347775,1.611044773
11.995,99.50035313,66.18254767,55.19507516,7.87,8.64,1.183796786,22.74621046,292.2080299,0.845051157
11.814,99.9620755,89.96379934,79.33804516,9.841,10.3688,2.846137181,4.113252659,109.8113224,0.970247603
5.219,96.4669657,37.05637299,14.02985393,4.188,4.5,2.805770012,9.572819679,172.0466189,1.172896205
17.149,99.9364676,75.90004235,62.30410843,12.9387,14.0556,2.876895356,2.830532956,116.4170754,0.78427217
18.342,97.7996277,63.59441872,41.95344693,8.271,10.081,2.701993569,15.44519244,299.1633453,0.832068218
20.567,100,99.6871299,99.12855956,17.6978,18.6274,2.778807765,4.246247494,283.6913105,0.929012054
12.237,99.62385761,77.97314108,65.01973768,8.6892,9.646,2.428482518,4.766594353,255.5655409,2.187327792
9.221,99.45564345,72.3186187,57.67202518,6.852,7.471,1.668957629,9.594897921,194.7551098,0.682241901
18.556,97.31145391,74.62186574,63.59996077,10.831,13.09,1.565893372,26.00615978,281.504275,0.693707709
18.172,95.96388741,65.05576208,60.43547531,11.207,14.837,2.18238937,3.02524658,150.8725635,0.703997603
18.546,98.2499168,65.78656075,51.65169076,10.31,12.73,2.191728115,24.63501861,314.6501382,0.688466313
17.733,97.94868435,76.43847582,70.6898133,13.752,15.005,2.276835361,7.63089945,327.8876149,0.796420506
9.522,92.86815436,58.54835856,42.87699967,7.469,7.9406,2.497410305,20.24076605,309.5180492,0.73705522
7.909,96.57801286,51.58807023,19.93841416,4.8242,5.8752,2.259508078,5.300869765,59.56294429,1.094008287
20.04,97.90341933,80.89612873,61.14389953,11.331,12.97,1.430166731,23.81424074,285.3868286,1.001243333
4.691,93.84171908,15.12292739,1.753382885,3.291,3.644,2.129145189,5.895538171,242.8400658,2.50731438
21.918,99.57127546,79.1841242,74.64354152,18.48,19.5,2.397906893,13.70988774,258.5691071,0.814224876
20.107,97.5872138,59.1538347,44.05673822,12.227,14.466,1.677250621,27.92900906,294.9097351,0.910621657
12.743,99.04810327,74.78179815,58.02898059,9.4364,10.8724,2.093690415,2.881218112,166.2012649,0.788670748
11.802,98.93118268,67.92617812,52.40367621,8.245,9.241,1.794498208,3.055775326,207.1795608,0.864420494
19.572,100,97.08355064,94.86387817,16.2582,17.1,2.058916116,3.356272419,130.7570536,0.750073316
2.054,73.68027888,0,0,1.457,1.574,2.612942014,11.88070937,124.1558661,4.498836659
15.686,98.55397507,67.92296728,51.4827404,10.176,11.492,1.79030834,9.901683616,306.8591156,0.871458107
16.589,98.90984276,74.22287776,61.73756157,11.009,12.803,1.279601543,26.76844932,308.7562898,0.759899467
4.975,97.27947535,19.82559816,3.49884693,3.468,3.845,2.41282341,4.211193284,158.4205388,1.085108714
18.59,97.52649945,68.69854608,55.833155,9.32,11.105,2.764302348,25.98849435,316.8676591,0.708569562
14.308,99.03761787,68.61174993,53.92941915,8.969,10.9044,3.085159413,11.13934585,182.7718959,0.799661955
18.742,96.73440247,54.80300221,39.10617542,9.791,14.188,3.142053438,7.687709506,71.99029585,0.777345049
26.185,100,99.4924789,99.06241083,22.572,23.50085,2.838734972,6.131667069,288.5968181,1.694697603
16.109,99.95059838,90.81376823,87.48039373,12.762,13.688,1.814508085,4.011843588,244.2433607,1.154926998
19.884,100,93.95085066,89.98109641,19.0956,19.211,3.040470168,3.5260626,135.8967896,0.737772113
11.129,96.07080838,55.98233141,35.46132086,6.17,7.09,1.748146208,22.06753302,316.1759618,0.774874112
25.15,96.88334192,75.57017749,68.13796656,20.4715,22.403,2.769757643,19.01886434,292.424404,0.881865206
20.779,100,98.01523297,97.57616487,18.113,18.95215,2.741485503,3.200247435,216.1454681,1.013878556
8.26,95.57869045,41.23435397,26.86475949,5.761,6.62,1.802362094,24.33665766,310.8285522,0.986188165
11.989,98.27080998,65.37338564,38.12813577,5.896,6.24,2.751987084,21.39196328,314.5364595,0.656750618
11.75,98.76512091,66.2686752,48.96887043,7.311,8.417,2.262569368,21.69567156,306.0629294,0.721817729
19.47,97.60373313,82.59906672,76.22802371,12.75,14.128,2.187915506,14.7617264,307.9461755,0.801830242
17.24,99.65217391,54.95652174,37.73913043,15.1524,15.945,2.8488168,4.862518728,234.606269,0.926203486
21.77,100,98.25307951,96.57334826,20.4624,20.84,2.891386806,1.846086696,217.8822405,1.213402365
